Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR13060080_1										5.742628950215205	2.4650723870462863	4.078532464842222	3.164775473565493	23.274334246323107	0.0	55.68623840541349
SRR13060080_2										8.536837986512303	4.628627983520151	12.00773356042995	9.570281032062052	7.029254033650194	36.778143485165835	0.0
SRR13060081_1										5.012171275789138	2.0252204796679836	9.379863522087872	8.934913603894808	39.339159583383214	26.647112813759527	0.0
SRR13060081_2										8.565784747994734	3.4797877010255793	13.260704736821102	9.828804022506883	43.52727562951434	0.0	0.0
SRR13060082_1										4.697751962998817	2.9310530278584492	9.911799505216736	8.755512530923953	7.54813380660428	25.400666881789824	34.20996020221577
SRR13060082_2										10.274819834355169	4.584812305044638	13.364526191244488	6.520920727116273	24.755297407765948	14.733247284070131	0.0
SRR13060083_1										5.748490634191651	2.3324216935858404	12.113628154187522	7.977707828061304	40.57226895092626	22.529542288043757	0.0
SRR13060083_2										8.68465865111719	3.619897827545281	17.875019350843697	16.814593116259868	11.18736776923474	24.913566231487692	0.0
SRR13060084_1										5.0835042484617645	2.4758277175505423	11.163199531204219	15.699775368688348	22.502197480222677	0.0	35.51372204316828
SRR13060084_2										7.9182537357163785	3.191229612266823	19.679656216427386	13.866100205098153	11.800468795780839	23.28840707100303	0.0
SRR13060085_1										2.999873689528862	3.2619679171403306	10.840596185423772	6.653404067197171	21.611721611721613	47.0222306429203	0.0
SRR13060085_2										9.444865479348238	3.7419477074649485	13.458380699760012	6.590248831628141	42.68030819754958	0.0	0.0
SRR13060087_1										4.98478022647023	2.593449409472787	5.895531474491659	5.846828199196396	10.269085596006331	35.27578229635943	28.881042250091323
SRR13060087_2										8.98088396444661	3.8572994033848778	12.263484719347376	8.345306221843419	8.065262388895652	40.72324363813466	0.0
SRR13060088_1										5.0542848107937175	2.6114683250764203	9.344365974491408	9.903025192368505	14.04817118161695	20.630863286602718	31.767155054284814
SRR13060088_2										7.13081058290292	2.7564034995256668	11.990091704437651	16.543691367133974	26.098872140824287	18.23811531569516	0.0
SRR13060089_1										4.887896491603707	2.7528828801272445	12.387972960572599	5.3803566512709144	0.0	68.3234943260025	0.0
SRR13060089_2										9.038632123084453	3.9519163123604444	17.168812895726916	3.3156944911754813	43.14990976661671	0.0	0.0
SRR13060090_1										5.947687153717304	1.945625563716016	8.540136580337586	5.865223553665764	15.503156809689472	16.24790619765494	39.695915474809944
SRR13060090_2										7.80827212988017	3.1233088519520678	12.127303182579565	8.72310269295194	24.09225615255766	0.0	29.527122793454453
SRR13060091_1										4.126569517001191	1.2120795527449364	2.483732013564293	1.7230318027678488	21.824305746494364	0.0	65.39730547154248
SRR13060091_2										5.480707542846668	2.270644303913482	9.451470992576299	5.269911098891027	13.25955457794886	0.0	53.21922830171386
SRR13060188_1										3.6915002762212925	2.4268013574303526	9.16068187199116	4.072291058322152	14.375345276615894	0.0	62.24252229500434
SRR13060188_2										5.731591823849735	3.421198011206692	6.149869781390577	7.3021071738615735	27.061794649198955	0.0	38.680846026359404
SRR13060189_1										5.031696647874804	1.5976981917705677	13.139488643009193	1.7380523521018036	36.377459121850805	33.87447659594376	0.0
SRR13060189_2										8.795527380757445	3.7872230929378463	10.196729748064282	7.611873961964022	37.46052539240684	14.34653442185782	0.0
SRR13060190_1										3.8110409901354085	1.2805587892898718	2.9716316402181238	10.379265976349489	27.100055143679924	47.748299736535756	0.0
SRR13060190_2										9.88909993260217	3.143189755529686	5.967771582623613	13.020035537038172	46.455486796152194	0.0	0.0
SRR13060191_1										5.296745373324825	2.8079132099553283	11.108578721852494	0.0	0.0	74.71966450907101	0.0
SRR13060191_2										9.24879205032364	4.216428115598505	8.583280153158903	0.0	29.948035372413162	28.999908833986687	0.0
SRR13060192_1										4.502348018345606	2.1232663950152575	10.943410016993441	2.5471887733659804	19.83116194931204	0.0	55.045955378515174
SRR13060192_2										7.899208800043854	2.6623056261077713	10.621813729968753	6.729767756317723	12.142087086812726	11.891753613390101	34.37973943391744
SRR13060193_1										3.651120912388757	2.609807657175666	10.504475820132056	1.6546180546493723	16.073805360544927	0.0	60.709345721220345
